n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,20,40,IC,Weak Consistency,0,0,Counter()
32,5,20,MALLOWS-RELPHI-R,Homogeneity,500,237,"Counter({'Borda': 157, 'Plurality Veto': 40, 'Dowdall': 32, 'Anti-Plurality': 27, 'Plurality': 7})"
32,5,20,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 297, 'Plurality Veto': 74, 'Dowdall': 71, 'Anti-Plurality': 37, 'Plurality': 21})"
32,5,20,MALLOWS-RELPHI-R,Monotonicity,500,7,"Counter({'Borda': 296, 'Dowdall': 71, 'Plurality Veto': 66, 'Anti-Plurality': 40, 'Plurality': 20})"
32,5,20,MALLOWS-RELPHI-R,Strong Consistency,235,62,"Counter({'Borda': 159, 'Dowdall': 9, 'Plurality Veto': 3, 'Plurality': 1, 'Anti-Plurality': 1})"
32,5,20,MALLOWS-RELPHI-R,Weak Consistency,162,16,"Counter({'Borda': 142, 'Dowdall': 3, 'Plurality Veto': 1})"
32,5,20,URN-R,Homogeneity,500,158,"Counter({'Borda': 132, 'Plurality Veto': 80, 'Dowdall': 52, 'Anti-Plurality': 40, 'Plurality': 38})"
32,5,20,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 190, 'Plurality Veto': 106, 'Dowdall': 89, 'Anti-Plurality': 60, 'Plurality': 55})"
32,5,20,URN-R,Monotonicity,500,10,"Counter({'Borda': 183, 'Plurality Veto': 105, 'Dowdall': 88, 'Plurality': 60, 'Anti-Plurality': 54})"
32,5,20,URN-R,Strong Consistency,207,47,"Counter({'Borda': 98, 'Plurality Veto': 29, 'Dowdall': 19, 'Anti-Plurality': 8, 'Plurality': 6})"
32,5,20,URN-R,Weak Consistency,123,9,"Counter({'Borda': 87, 'Plurality Veto': 15, 'Dowdall': 12})"
32,5,20,plackett_luce,Homogeneity,500,227,"Counter({'Borda': 154, 'Plurality Veto': 59, 'Anti-Plurality': 30, 'Dowdall': 30})"
32,5,20,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 281, 'Plurality Veto': 111, 'Anti-Plurality': 55, 'Dowdall': 52, 'Plurality': 1})"
32,5,20,plackett_luce,Monotonicity,500,3,"Counter({'Borda': 285, 'Plurality Veto': 110, 'Dowdall': 55, 'Anti-Plurality': 47})"
32,5,20,plackett_luce,Strong Consistency,199,86,"Counter({'Borda': 95, 'Plurality Veto': 14, 'Dowdall': 4})"
32,5,20,plackett_luce,Weak Consistency,72,16,"Counter({'Borda': 49, 'Plurality Veto': 5, 'Dowdall': 2})"
32,5,20,single_peaked_conitzer,Homogeneity,500,243,"Counter({'Borda': 150, 'Plurality Veto': 101, 'Anti-Plurality': 5, 'Dowdall': 1})"
32,5,20,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 198, 'Anti-Plurality': 176, 'Plurality Veto': 124, 'Dowdall': 2})"
32,5,20,single_peaked_conitzer,Monotonicity,500,7,"Counter({'Borda': 193, 'Anti-Plurality': 175, 'Plurality Veto': 125})"
32,5,20,single_peaked_conitzer,Strong Consistency,193,80,"Counter({'Borda': 50, 'Plurality Veto': 45, 'Anti-Plurality': 18})"
32,5,20,single_peaked_conitzer,Weak Consistency,49,15,"Counter({'Borda': 17, 'Plurality Veto': 9, 'Anti-Plurality': 8})"
32,5,20,IC,Homogeneity,500,228,"Counter({'Anti-Plurality': 88, 'Plurality': 61, 'Borda': 46, 'Plurality Veto': 40, 'Dowdall': 37})"
32,5,20,IC,Reversal Symmetry,500,0,"Counter({'Plurality': 136, 'Anti-Plurality': 134, 'Borda': 90, 'Plurality Veto': 79, 'Dowdall': 61})"
32,5,20,IC,Monotonicity,500,43,"Counter({'Anti-Plurality': 113, 'Plurality': 97, 'Dowdall': 93, 'Borda': 87, 'Plurality Veto': 67})"
32,5,20,IC,Strong Consistency,120,64,"Counter({'Anti-Plurality': 17, 'Borda': 15, 'Plurality': 12, 'Plurality Veto': 10, 'Dowdall': 2})"
